content,link,tag,time,title
,https://www.kompas.com/sains/read/2020/12/10/190600523/vaksin-covid-19-tiba-apakah-virus-corona-akan-hilang-karena-vaksinasi-,virus corona,"Kompas.com - 10/12/2020, 19:06 WIB","Vaksin Covid-19 Tiba, Apakah Virus Corona Akan Hilang karena Vaksinasi?"
,https://megapolitan.kompas.com/read/2020/12/10/20102931/kasus-perebutan-hak-asuh-anak-di-kota-bekasi-meningkat-selama-pandemi,perceraian,"Kompas.com - 10/12/2020, 20:10 WIB",Kasus Perebutan Hak Asuh Anak di Kota Bekasi Meningkat Selama Pandemi
,https://www.kompas.com/global/read/2020/12/10/173951270/fbi-peringatkan-potensi-penipuan-vaksin-covid-19,FBI,"Kompas.com - 10/12/2020, 17:39 WIB",FBI Peringatkan Potensi Penipuan Vaksin Covid-19
,https://megapolitan.kompas.com/read/2020/12/10/20134511/terdampak-covid-19-264-restoran-dan-hotel-di-jakbar-terima-dana-hibah,hibah,"Kompas.com - 10/12/2020, 20:13 WIB","Terdampak Covid-19, 264 Restoran dan Hotel di Jakbar Terima Dana Hibah Pariwisata"
,https://nasional.kompas.com/read/2020/12/10/18280471/satgas-covid-19-tingkat-kepatuhan-prokes-penyelenggara-pilkada-di-bawah-50,Pilkada 2020,"Kompas.com - 10/12/2020, 18:28 WIB",Satgas Covid-19: Tingkat Kepatuhan Prokes Penyelenggara Pilkada di Bawah 50 Persen
,https://nasional.kompas.com/read/2020/12/11/06470311/10-provinsi-catat-kenaikan-kasus-covid-19-satgas-minta-pemda-evaluasi,Covid-19,"Kompas.com - 11/12/2020, 06:47 WIB","10 Provinsi Catat Kenaikan Kasus Covid-19, Satgas Minta Pemda Evaluasi"
,https://megapolitan.kompas.com/read/2020/12/10/18262711/kpad-ungkap-penyebab-anak-anak-kerap-jadi-bahan-eksploitasi-selama,kekerasan anak,"Kompas.com - 10/12/2020, 18:26 WIB",KPAD Ungkap Penyebab Anak-anak Kerap Jadi Bahan Eksploitasi Selama Pandemi
,https://nasional.kompas.com/read/2020/12/10/20491601/satgas-covid-19-minta-tak-ada-kerumunan-perayaan-kemenangan-pilkada,pilkada,"Kompas.com - 10/12/2020, 20:49 WIB",Satgas Covid-19 Minta Tak Ada Kerumunan Perayaan Kemenangan Pilkada 
,https://nasional.kompas.com/read/2020/12/10/18501661/satgas-lonjakan-kasus-aktif-covid-19-karena-perawatan-belum-maksimal,Covid-19,"Kompas.com - 10/12/2020, 18:50 WIB",Satgas: Lonjakan Kasus Aktif Covid-19 karena Perawatan Belum Maksimal
,https://regional.kompas.com/read/2020/12/10/18040051/fakta-anggota-kpps-bantul-dijemput-satgas-hasil-swab-belum-keluar-tps,yogyakarta,"Kompas.com - 10/12/2020, 18:04 WIB","Fakta Anggota KPPS Bantul Dijemput Satgas,  Hasil Swab Belum keluar, TPS Disemprot Disinfektan"
,https://regional.kompas.com/read/2020/12/10/18065691/pilkada-kabupaten-semarang-berjalan-lancar-dan-sesuai-prokes-covid-19,ungaran,"Kompas.com - 10/12/2020, 18:06 WIB",Pilkada Kabupaten Semarang Berjalan Lancar dan Sesuai Prokes Covid-19
,https://megapolitan.kompas.com/read/2020/12/10/21571851/taufik-wagub-dki-sudah-negatif-covid-19,Ahmad Riza Patria,"Kompas.com - 10/12/2020, 21:57 WIB",Taufik: Wagub DKI Sudah Negatif Covid-19
,https://megapolitan.kompas.com/read/2020/12/10/18143701/update-10-desember-tambah-1180-kasus-covid-19-di-jakarta-11772-orang,DKI Jakarta,"Kompas.com - 10/12/2020, 18:14 WIB","UPDATE 10 Desember: Tambah 1.180 Kasus Covid-19 di Jakarta, 11.772 Orang Masih Dirawat"
,https://nasional.kompas.com/read/2020/12/10/17455301/jubir-satgas-tujuan-vaksinasi-covid-19-untuk-capai-herd-immunity,vaksin Covid-19,"Kompas.com - 10/12/2020, 17:45 WIB",Jubir Satgas: Tujuan Vaksinasi Covid-19 Untuk Capai Herd Immunity
,https://nasional.kompas.com/read/2020/12/10/19573731/vaksin-sinovac-belum-terbukti-efektif-satgas-pemerintah-punya-pertimbangan,vaksin sinovac,"Kompas.com - 10/12/2020, 19:57 WIB","Vaksin Sinovac Belum Terbukti Efektif, Satgas: Pemerintah Punya Pertimbangan Sebelum Beli"
,https://nasional.kompas.com/read/2020/12/10/17233561/update-10-desember-ada-88622-kasus-aktif-covid-19-di-indonesia,update,"Kompas.com - 10/12/2020, 17:23 WIB",UPDATE 10 Desember: Ada 88.622 Kasus Aktif Covid-19 di Indonesia
,https://nasional.kompas.com/read/2020/12/10/16370721/update-bertambah-6033-kini-ada-598933-kasus-covid-19-di-indonesia,virus corona,"Kompas.com - 10/12/2020, 16:37 WIB","UPDATE: Bertambah 6.033, Kini Ada 598.933 Kasus Covid-19 di Indonesia"
,https://www.kompas.com/tren/read/2020/12/10/171000665/soal-efektivitas-vaksin-sinovac-ini-penjelasan-bio-farma,virus corona,"Kompas.com - 10/12/2020, 17:10 WIB","Soal Efektivitas Vaksin Sinovac, Ini Penjelasan Bio Farma"
,https://www.kompas.com/sains/read/2020/12/10/170400823/ahli-beri-peringatan-alergi-untuk-vaksin-covid-19-pfizer-mengapa,alergi,"Kompas.com - 10/12/2020, 17:04 WIB","Ahli Beri Peringatan Alergi untuk Vaksin Covid-19 Pfizer, Mengapa?"
,https://www.kompas.com/hype/read/2020/12/10/165928366/monty-tiwa-rasakan-pengalaman-spiritual-saat-syuting-di-tengah-pandemi,film,"Kompas.com - 10/12/2020, 16:59 WIB",Monty Tiwa Rasakan Pengalaman Spiritual Saat Syuting di Tengah Pandemi
,https://nasional.kompas.com/read/2020/12/10/17074011/update-10-desember-tambah-4530-total-pasien-covid-19-sembuh-491975,pasien covid-19 sembuh,"Kompas.com - 10/12/2020, 17:07 WIB","UPDATE 10 Desember: Tambah 4.530, Total Pasien Covid-19 Sembuh 491.975"
,https://nasional.kompas.com/read/2020/12/10/17054521/update-bertambah-165-pasien-covid-19-meninggal-kini-18336-orang,Covid-19,"Kompas.com - 10/12/2020, 17:05 WIB","UPDATE: Bertambah 165, Pasien Covid-19 Meninggal Kini 18.336 Orang"
